,time,targetX,endEffectorX,targetY,endEffectorY,targetZ,endEffectorZ
57,26.724,-2.667143692178979,-3.049,-2.786829319287755,-3.039,5.943768339262217,5.507
58,26.812,-2.4139825749935766,-1.345,-2.786829319287755,-2.933,6.364740078158381,6.279
59,26.914,-2.4121435012842314,-1.632,-2.786829319287755,-3.065,6.36460554561705,6.167
60,27.018,-2.3789292198427603,-1.94,-2.8789419828365417,-3.318,6.370384897160669,5.891
61,27.11,1.7269872984139212,-1.925,-2.9177045748114683,-3.545,8.248636701634913,5.781
62,27.211,1.7724343325827085,-0.881,-2.917259706550939,-2.347,8.271360218719307,5.504
63,27.334,-2.2580288470544496,-1.239,-2.9987152162833413,-3.197,6.421883121822574,6.108
64,27.468,-2.1962409633807596,-1.225,-3.062458670227078,-2.384,6.469073531295016,6.007
65,27.55,1.8860519180046773,-2.152,-3.1208020271440415,-3.121,8.271360218719307,5.768
66,27.635,1.9314989521734647,-2.283,-3.1488510365851705,-3.545,8.271360218719305,5.806
67,27.771,-2.1285808036245912,-2.403,-3.168174591559468,-3.519,6.380412425756871,5.712
68,27.859,-2.171486975775641,-2.359,-3.1867147059687633,-3.232,6.25356765634846,6.03
69,27.95,-1.918837637020667,-0.889,-3.2440331599020307,-3.182,6.593026544531492,5.972
70,28.069,-1.8417296868360993,0.067,-3.2519882967613984,-3.229,6.626193670236825,6.034
71,28.205,-1.725218958308782,-2.165,-3.2618593854212743,-3.637,6.681009439629312,5.756
72,28.314,-1.6824708965671324,-0.799,-3.298405509868079,-2.626,6.701296114702152,6.343
73,28.419,-1.6016847989638754,-1.036,-3.326130382258027,-2.781,6.737199660036852,6.178
74,28.521,-1.496021276681494,-2.498,-3.326130382258027,-3.373,6.833622044969787,5.755
75,28.608,-1.4462567187893354,-2.618,-3.326130382258027,-3.752,6.8238732899901615,5.158
76,28.718,-1.4465008190705155,-2.684,-4.05435216653287,-3.92,6.79644806862622,5.038
77,28.835,2.4314163280301258,-1.79,-3.3892938014785963,-4.098,8.316807252888093,5.557
78,28.961,2.4768633621989133,-2.119,-3.4141408092805214,-3.521,8.316807252888095,5.922
79,29.071,-1.164859024191752,-1.608,-3.4141408092805214,-3.494,6.924897519996706,6.078
80,29.2,-1.0893543690358445,-1.449,-3.442338108141828,-3.245,6.950967707413414,6.344
81,29.309,-1.058195522916582,-1.401,-3.442338108141828,-3.193,6.952473917102967,6.347
82,29.414,-1.0138413922794416,-2.014,-3.460072472958306,-3.514,6.974768871761881,5.8
83,29.515,-0.8449850227731694,-2.255,-3.460072472958306,-3.503,7.05114729496974,5.591
84,29.617,-0.7857407749840483,0.18,-3.460072472958306,-2.561,7.081346383165272,6.537
85,29.719,-0.749876063784992,0.442,-3.460072472958306,-2.16,7.091991097131502,6.731
86,29.825,-0.5668812950381004,-1.524,-3.460072472958306,-2.963,7.191875267870263,6.686
87,29.929,-0.5356641977153749,-1.695,-3.460072472958306,-3.644,7.20971539239764,6.08
88,30.031,-0.4101758491876127,-1.571,-3.460072472958306,-3.508,7.234963128298783,6.239
89,30.129,-0.40071418942505566,-1.757,-3.460072472958306,-3.371,7.235678785941332,6.002
90,30.229,-0.3519399019917748,-1.748,-3.460072472958306,-3.352,7.25414580437265,6.024
91,30.341,-0.2788831843147462,-1.697,-3.460072472958306,-3.049,7.286855242050772,6.07
92,30.452,-0.20451165375954333,-0.689,-3.460072472958306,-3.389,7.316972501174772,6.366
93,30.564,-0.05270069593339794,-1.438,-3.460072472958306,-3.598,7.375714679067375,6.288
94,30.701999999999998,-0.02574703193082792,-1.375,-3.460072472958306,-3.523,7.388166567274386,6.314
95,30.807,0.11106146713665738,-1.295,-3.460072472958306,-3.418,7.448478753793671,6.369
96,30.898,0.1733971895095867,-1.332,-3.3734360195900113,-3.254,7.466454797795796,6.217
97,31.001,0.19946182919263183,-1.281,-3.3734360195900113,-3.208,7.47807452595333,6.273
98,31.096,0.27876529497440355,-1.246,-3.3734360195900113,-3.144,7.508449754692668,6.338
99,31.173,0.32772959228564835,-1.077,-3.3734360195900113,-3.158,7.535898553924677,6.394
100,31.282,3.6357627335029914,-0.649,-3.3734360195900113,-3.427,8.339530769972487,6.644
101,31.38,0.6355039865848309,-0.794,-3.3734360195900113,-3.411,7.6509086204961045,6.643
102,31.512,0.6718388682118417,-0.823,-4.044679234531814,-3.359,7.664461733835258,6.559
103,31.615,0.747794276727883,-0.868,-4.044679234531814,-3.183,7.692574874173434,6.486
104,31.719,0.8240409412612413,-0.705,-4.044679234531814,-3.23,7.718532719983461,6.564
105,31.822,0.842851919179676,-0.764,-3.9596634664194283,-3.246,7.729164951548951,6.501
106,31.933,0.9727853893050629,-0.735,-3.9596634664194283,-3.213,7.774858859865749,6.494
107,32.037,1.0384247870744172,1.435,-3.9596634664194283,-3.217,7.798381250597642,6.952
108,32.159,3.953891972684504,0.24,-3.9596634664194283,-3.192,8.339530769972487,6.945
109,32.264,1.1284339918927144,-0.457,-3.139095429951628,-3.458,7.841711824373926,6.739
110,32.368,4.135680109359654,-0.067,-3.706772264005718,-3.823,8.33953076997249,6.762
111,32.478,1.2713782843916792,-0.326,-3.7108535037999504,-3.613,7.889477811213923,6.7
112,32.555,1.406297780146851,-0.234,-3.6678521965403386,-3.566,7.936177246257173,6.694
113,32.653,1.5432546810898262,0.078,-3.0172474569181142,-3.631,7.995521353252232,6.747
114,32.755,1.34226029047274,0.602,-2.989926771620328,-3.775,7.924970824257545,6.992
115,32.879,1.890570547073339,1.091,-2.960558904946657,-3.466,8.0726293034368,7.277
116,32.984,1.6274040922263875,2.129,-2.933767074837642,-4.166,8.021401530790977,6.606
117,33.078,1.7493737906782767,0.308,-2.9082744175248605,-3.281,8.077828916812617,7.189
118,33.19,1.751710773483892,1.846,-2.8703490702408407,-3.915,8.071813786588312,6.826
119,33.298,1.8471914306275026,0.259,-2.8582168959972156,-3.785,8.102829778565747,6.99
120,33.407,1.9867044498557886,0.199,-2.8074153027771818,-3.83,8.154642837113034,6.725
121,33.508,1.9876434037782829,0.292,-2.7650596450284266,-3.67,8.150888408356478,6.994
122,33.642,4.521979899794347,1.158,-2.729130299585894,-3.945,8.2940837358037,7.185
123,33.742,2.0507571957974733,1.757,-2.7008555752751158,-3.288,8.200553107042698,7.35
124,33.85,4.521979899794347,0.752,-2.6772880558331185,-3.81,8.2940837358037,7.064
125,33.965,2.2510595066400767,0.71,-2.6772880558331185,-3.356,8.241194416925753,7.282
126,34.058,1.6914374211002503,1.353,-2.6005686214760813,-3.771,8.094824398889774,7.175
127,34.149,2.6813750159584564,0.862,-2.5074021844370153,-3.433,8.22591318455052,7.165
128,34.255,2.6813750159584564,0.88,-2.4953316880938177,-3.417,8.22591318455052,7.242
129,34.371,2.4397448631919776,1.952,-3.3326013126198784,-2.875,8.307012729105747,7.761
130,34.479,2.6813750159584564,1.729,-3.2896000053602674,-3.301,8.22591318455052,7.564
131,34.582,2.5150303828681904,2.303,-3.2896000053602674,-3.315,8.338356037369309,7.292
132,34.678,2.5448383558404672,2.499,-2.3054962966488675,-3.342,8.340705502575666,7.19
133,34.78,2.7123244351319333,1.292,-2.1867046604258897,-3.444,8.380172079855544,7.426
134,34.875,2.8506349830887254,1.444,-3.1605960835814333,-3.332,8.29910166090205,7.324
135,34.981,2.226904674270583,1.638,-2.134886037996682,-3.21,8.384977804141275,7.472
136,35.077,2.7458854499273535,1.441,-2.134886037996682,-3.242,8.40770132122567,7.924
137,35.205,2.3442447889805464,2.273,-2.017347644218557,-3.411,8.385956979132828,7.545
138,35.31,3.0242402126106813,2.406,-2.004976632147746,-3.355,8.299894986815884,7.52
139,35.417,3.1411281870270957,2.397,-1.9935990279625397,-3.389,8.27710905772778,7.501
