,time,inputAngle2,theta2,inputAngle3,theta3,inputAngle4,theta4
33,16.923000000000002,-0.6047631577515097,-0.3805063771123649,0.30321983722153056,0.532322511232846,0.491903789703533,0.594066810592853
34,17.035,-0.6298715406245784,-0.41947746175536094,0.28086186272755365,0.532322511232846,0.4798093855781569,0.5827177445401983
35,17.16,-0.6679193867502831,-0.4527784718235359,0.2465389904479564,0.5012642648715825,0.46114632902459535,0.5570500837511912
36,17.287,-0.7072577823555446,-0.48503472185253577,0.2104650078963134,0.4906680581880709,0.44140495479618963,0.5431088814154897
37,17.404,-0.7411209964781703,-0.5162306706117479,0.17890872240821698,0.4417931655174437,0.4240293268488479,0.5397557415969648
38,17.482,-0.7705365096449631,-0.5783254862804168,0.1510999338531948,0.4245613803643576,0.40863424566033374,0.4961579639187168
39,17.556,-0.7913736772775446,-0.5975564529851647,0.13116765276469036,0.38991786393085215,0.3975515648190428,0.46885995170715056
40,17.677,-0.8165271723928941,-0.6162969373960713,0.10683816874285954,0.35877067027057225,0.38396923412910394,0.4375038825931499
41,17.786,-0.8524797007887003,-0.6590900463342081,0.0715298874928619,0.3385556949116842,0.3641499818713539,0.4430050740374217
42,17.872,-0.8769229847734231,-0.6590900463342081,0.0471476944104733,0.317458735254631,0.35038858045170607,0.4430050740374217
43,17.967,-0.9016004622612431,-0.6989996140390012,0.02220587020955799,0.2821237321427154,0.3362471495419585,0.4190497915152101
44,18.076,-0.9278097041212894,-0.722979353401491,-0.004660639684449499,0.2821237321427154,0.3209411662334049,0.3897350522898183
45,18.191,-0.9578054778760301,-0.7621465405869854,-0.03591126480941079,0.19739555984988075,0.3030408060459824,0.39497270676876617
46,18.283,-0.9857191592214142,-0.8007815651780434,-0.06550420686279501,0.19739555984988075,0.28599284215014514,0.35898839966059976
47,18.383,-1.0116192557327612,-0.8315192794119595,-0.09343190546501566,0.15499674192394097,0.2698163293620625,0.35682239633178453
48,18.461,-1.0328505111890407,-0.8633647972289906,-0.11668274420928465,0.13970887428916365,0.2562828163087132,0.3442186829824677
49,18.548000000000002,-1.0518011456378142,-0.8633647972289906,-0.13772323906122355,0.11242713083019014,0.2439835409200527,0.3442186829824677
50,18.637,-1.073364002531036,-0.8550527371260165,-0.16201153620926903,0.06548002492346482,0.2297231424768079,0.27761312098150226
51,18.728,-1.0933734947621585,-0.9272952180016122,-0.18489956473031188,0.017239671194529696,0.2162226576175224,0.2966139196812284
52,18.822,-1.1146683756242377,-0.9117062804606886,-0.20964992807102378,-0.017542060057402487,0.20155472623006304,0.2630638287941448
53,18.909,-1.1394153975372594,-0.9518438569459917,-0.2389548562467222,-0.05449145624073119,0.18409343385672786,0.279173305138921
54,18.992,-1.1569264221367905,-0.9765826229944627,-0.26006732484970874,-0.07393903765794034,0.17144926126613658,0.2577526233728382
55,19.086,-1.173910130982831,-1.0109994072334723,-0.2808618627275526,-0.1586552621864014,0.15894194124008165,0.2353096766701328
56,19.174,-1.195083641353318,-1.0303768265243125,-0.3072537827321943,-0.20131710837464076,0.14299014640414986,0.2152844235199547
57,19.273,-1.2159620002227007,-1.0343608691901653,-0.33382371464803035,-0.20131710837464076,0.12684118724533458,0.19949813719112564
58,19.388,-1.23935564208851,-1.0343608691901653,-0.3642954420354573,-0.24997862146082248,0.10820766410009655,0.19949813719112564
59,19.458,-1.2559441662603135,-1.0705158985700445,-0.3863909624736371,-0.24997862146082248,0.09461898315840704,0.21452814535372255
60,19.55,-1.273117390266427,-1.0912770348023004,-0.40972887995581786,-0.348771003583907,0.0801941921762748,0.20208653094780926
61,19.624,-1.2887305998953262,-1.0912770348023004,-0.4313886968205677,-0.348771003583907,0.06673906183926266,0.1669938558846391
62,19.699,-1.3008370812009693,-1.1180178549713606,-0.4484955017191566,-0.348771003583907,0.056065432972661894,0.13522413172403158
63,19.779,-1.314146070621549,-1.1769277160585352,-0.467638837601819,-0.5028432109278608,0.04407121323394818,0.1852056586313694
64,19.87,-1.3308307963939707,-1.1525719972156676,-0.4921769148237997,-0.5754246505352849,0.028618289330779433,0.08887417481310789
65,19.972,-1.3483517808751362,-1.1576674945164953,-0.5186532656283981,-0.625485040239229,0.011843272798557979,0.07290309706169507
66,20.089,-1.3662325626904963,-1.1878976097489533,-0.5465077134923494,-0.7853981633974483,-0.005921731080158829,0.08826754726716679
67,20.163,-1.3812268301381674,-1.1878976097489533,-0.5705936985306805,-0.7853981633974483,-0.021382656734922137,0.08826754726716679
